Company, Move
BlaBlaCar,"BlaBlaCar приостановит инвестиции и финансирование дочерней компании в РФ
"
Bloomberg,"Банковская группа BNP Paribas приостанавливает операции в РФ — Bloomberg
"
BMW,"Boeing приостановил закупку титана в России — The Wall Street Journal
"
BNP Paribas,"Booking.com начал отключаться от объектов в России, невозможно забронировать и найти места в отелях страны
"
Boeing,"Министерство нефти и природного газа Индии просит госкорпорации оценить покупку доли BP в ""Роснефти"", сообщает издание The Economic Times со ссылкой на источники. Также власти предложили ONGC Videsh рассмотреть возможность покупки доли Exxon Mobil в проекте ""Сахалин-1"".
"
Booking.com,"Японский концерн Bridgestone приостанавливает производство автомобильных шин в Ульяновске, поставки в Россию и будущие инвестиции до дальнейшего уведомления, говорится в сообщении компании. Производство будет приостановлено с 18 марта 2022 года. ""Продолжающийся кризис на Украине затронул многих людей и различные сферы бизнеса. Bridgestone тщательно анализирует его влияние на свою деятельность в этих сложных обстоятельствах. В настоящее время компания сталкивается с серьезными проблемами, вызванными перебоями в цепочке поставок и логистике, волатильностью национальной и иностранной валют, которые серьезно сказываются на возможности обеспечить стабильное производство в России"", - поясняются в сообщении причины приостановки.
"
BP,"British American Tobacco объявила об уходе из России
"
Bridgestone,"Чаи Lipton, Brooke Bond и Saito исчезнут с российских прилавков. Сотрудникам завода по их производству в Петербурге объявили, что предприятие ликвидируют, персонал также сократят, пишет Mash.
"
British American Tobacco,"Чаи Lipton, Brooke Bond и Saito исчезнут с российских прилавков. Сотрудникам завода по их производству в Петербурге объявили, что предприятие ликвидируют, персонал также сократят, пишет Mash.
"
Brooke Bond,"Чаи Lipton, Brooke Bond и Saito исчезнут с российских прилавков. Сотрудникам завода по их производству в Петербурге объявили, что предприятие ликвидируют, персонал также сократят, пишет Mash.
"
Brown-Forman,"Американская компания Brown-Forman (виски Jack Daniel's, водка Finlandia) приостанавливает свою деятельность в России
"
Bud,"Поставки пива в Россию из-за событий на Украине прекратили Budejovicky Budvar - крупнейшие производители в Чехии, пишет местная газета «Лидове новины»
"
Budejovicky Budvar,"Поставки пива в Россию из-за событий на Украине прекратили Budejovicky Budvar - крупнейшие производители в Чехии, пишет местная газета «Лидове новины»
"
Bumble,"Сервис знакомств Bumble перестанет работать в России и Белоруссии
"
Burger King,"Burger King в России переходят на напитки ""Черноголовки""
"
Canva,"Сервис для графического дизайна Canva отключил доступ пользователям из России
"
Carlsberg,"Carlsberg продаст активы в РФ и покинет российский рынок – компания
"
Cartier,"Французские люксовые бренды заявили о приостановке деятельности в России. Решение приняли Cartier.
"
Chanel,"Французские люксовые бренды заявили о приостановке деятельности в России. Решение приняли Chanel.
"
CitiGroup,"Американский банк CitiGroup увеличили число вакансий в российских подразделениях после того, как в РФ было решено блокировать сделки по продаже дочерних компаний иностранных банков — Reuters
"
Cisco Systems Inc.,"Американский производитель сетевого оборудования Cisco Systems Inc. приостановил все бизнес-операции в России и Белоруссии из-за событий на Украине.
"
Cloudflare,"«Cloudflare предоставляет доступ к более открытому и безопасному интернету, и мы считаем полное прекращение работы в России ошибкой».Платформа для защиты сайтов от DDoS-атак, доставки и хранения контента будет соблюдать санкции, но не станет отключать российских пользователей, пишет vc.ru, со ссылкой на главу компании Мэттью Принца.
"
Coca-Cola,"В России вместо Coca-Cola и Fanta появятся новые напитки с привычными цветами — Funky Monkey Cola и Orange.  Об этом «Фонтанке» 16 июня рассказали участники встречи, на которой компания Coca-Cola провела презентацию газировки.
"
Colgate-Palmolive,"Colgate-Palmolive решила оставить в стране только средства повседневного использования. 
"
Commerzbank,"Германский Commerzbank прекращает деятельность в России — Bloomberg
"
Condé Nast,"Глава издательского дома Condé Nast (GQ, Vogue, Tatler, Glamour, AD) заявил о приостановке всех издательских операций с Condé Nast Russia
"
Continental,"Завод шин и автомобильных комплектующих немецкой компании Continental в Калуге, который находится в простое с марта 2022 года, возобновит работу 1 августа, сообщил губернатор Калужской области Владимир Шапша.
"
Coursera,"Образовательная платформа Coursera временно останавливает всю свою деятельность на территории РФ
"
Christie's,"Аукционный дом Christie's запретил продажу предметов роскоши клиентам из России и Белоруссии
"
Crocs,"Американский производитель обуви Crocs приостанавливает розничную деятельность в России и импорт продукции в страну
"
Danone,"Французская Danone прекратила импорт в РФ продукции evian и Alpro (под этими брендами выпускаются минеральная вода и растительные напитки)
"
Dassault,"Dassault приостанавливает поставки джетов Falcon в Россию
"
Decathlon,"Магазины товаров для спорта Decathlon в России будут работать до 26 июня включительно, потом они будут временно закрыты из-за невозможности продолжать снабжение, говорится на сайте компании.
"
Deezer,"Музыкальный стриминговый сервис Deezer уведомил пользователей о прекращении работы в России
"
Depositphotos,"Международный фотобанк Depositphotos закрыл продажи и доступ к сервису клиентам из России и Беларуси
"
Deutsche Bank,"Deutsche Bank объявил о закрытии бизнеса.
"
Diageo,"Британская компания Diageo (производитель алкогольных напитков Smirnoff, Black Label, Johnnie Walker, Guinness, Baileys, Captain Morgan и другие алкогольные напитки) уходит из России — Коммерсант
"
Discovery,"Discovery приостановит вещание кабельных каналов в России
"
The Walt Disney Company,"Американская компания The Walt Disney Company приостанавливает показ своих фильмов в России
"
DHL,"DHL Express прекращает доставку грузов внутри России
"
DJI,"Китайский производитель дронов и видеокамер DJI заявил о приостановке коммерческой деятельности в России и на Украинe. Таким образом, DJI стала одной из первых крупных компаний КНР, публично заявивших о прекращении операций в РФ после начала российско-украинского конфликта, пишет газета Financial Times.
"
Domino's Pizza,"Сеть пиццерий Domino's Pizza приостановила инвестиции в России, 188 ресторанов сети продолжают работу - компания
"
eBay,"eBay приостановил все транзакции с российскими адресами из-за прекращения работы платежных провайдеров и основных служб доставки, говорится в сообщении, направленном компанией зарегистрированным на площадке продавцам из России.
"
Efe,"Испанское агентство Efe сообщило о возобновлении работы в России
"
Electrolux Professional,"Компания-производитель электротехники Electrolux Professional прекратит работу в России. Компания продаст российский бизнес топ-менеджменту подразделения, сообщило агентство Reuters.
"
Electronic Arts,"Electronic Arts (EA) запретила российским и белорусским киберспортсменам участвовать в матчах по Apex Legends и FIFA 22, сообщает игровая корпорация.
"
Enel,"Крупнейший итальянский энергоконцерн Enel покинет рынок России в течение нескольких месяцев, заявил глава компании Франческо Стараче.
"
EPAM,"EPAM Systems Inc. решила прекратить деятельность в России на фоне военной спецоперации на Украине, завершит этот процесс в течение 3 месяцев, говорится в сообщении компании.
"
Ernst & Young (EY),"Одна из крупнейших в мире аудиторских компаний Ernst & Young (EY) объявила о прекращении работы в России
"
Epson,"Японский производитель принтеров Epson объявил, что на фоне кризиса на Украине прекращает экспорт товаров в РФ и Белоруссию. 
"
Essity,"Владеющая торговыми марками Zewa, Libresse и Libero компания Essity уходит с рынка РФ — заявление
"
Estee Lauder,"Производитель косметики Estee Lauder приостанавливает всю коммерческую деятельность в России. Компании принадлежат бренды Clinique, MAC Cosmetics, Tom Ford Beauty, DKNY Fragrances и другие.
"
Eurosport,"Телеканал Eurosport прекращает вещание в России — заявление
"
Exxon Mobil,"Exxon Mobil рассматривает возможность полного ухода из России к 24 июня — источники Reuters
"
Fazer,"ФАС разрешила булочно-кондитерскому холдингу «Коломенский» купить российское подразделение Fazer
"
FEDEX,"FEDEX заявляет, что приняла решение приостановить все услуги в России и Беларуси
"
Ferrari,"Ferrari решила приостановить производство автомобилей для России
"
Figma,"Онлайн-сервис для разработки интерфейсов Figma приостановит свои продажи в РФ и заморозит корпоративные российские аккаунты
"
Forbes,"Американский автопроизводитель Ford Motor Company вслед за рядом других автопроизводителей приостанавливает деятельность в России, включая совместное предприятие с группой ""Соллерс Авто"" по выпуску LCV Ford Transit в Татарстане, говорится на сайте Ford.
"
Ford Motor Company,"General Electric заявляет, что приостанавливает свою деятельность России, за исключением предоставления необходимого медицинского оборудования и поддержки существующих энергетических услуг в регионе
"
General Electric,"Автоконцерн General Motors принял решение продлить приостановку работы в РФ — заявление компании
"
General Motors,"Агрегатор такси Gett прекращает работу в России. Водители, которые сотрудничали с компанией, начали получать сообщения о том, что 31 мая — будет последним рабочим днем приложения.
"
Gett,"Швейцарская Glencore пришла к выводу, что в текущих условиях не видит реалистичных вариантов, как выйти из капитала En+ Group и ""Роснефти"", сообщает компания.
"
Glencore,"Гипермаркет Globus опровергают слухи о своем уходе с российского рынка
"
Globus,"Goldman Sachs Group Inc. сворачивает свой бизнес в России ""в соответствии с регуляторными и лицензионными требованиями"" — Bloomberg
"
Goldman Sachs Group Inc.,"Украинская студия GSC Game World, разработавшая серию компьютерных игр S.T.A.L.K.E.R., перестанет продавать свою продукцию российским пользователям
"
GSC Game World,"Магазин H&M открылся (https://t.me/navideovidno/48913) в московском «Метрополисе», в питерской «Галерее» он откроется 3 августа. СМИ со ссылкой на руководство магазинов, утверждает, что товара хватит на 50 недель работы.
"
H&M,"Крупные торговые сети не получали уведомления от немецкого производителя мармеладных мишек Haribo о приостановке поставок в Россию, сообщил РИА Новости источник в отрасли.  Ранее в пятницу в СМИ появилась информация, что компания Haribo приостановила поставки своей продукции в Россию из-за роста цен на сырье и увеличения тарифов на перевозку грузов.
"
Haribo,"Компания-производитель мотоциклов Harley-Davidson приостановила свою деятельность в России
"
Harley-Davidson,"Heineken планирует достичь соглашения о продаже бизнеса в России в 2022 году, компания оценила свои активы в России в 475 млн евро — Ведомости
"
Hearst,"Компания Helly Hansen приостановила онлайн-продажи в России
"
Heineken,"Германский производитель бытовой химии Henkel заявил о прекращении бизнеса в России — заявление (https://www.henkel.com/press-and-media/press-releases-and-kits/2022-04-19-henkel-to-exit-its-business-in-russia-1654222)
"
Helly Hansen,"Herbalife прекращает работу в РФ
"
Henkel,"Французские люксовые бренды заявили о приостановке деятельности в России. Решение приняли Hermes.
"
Herbalife,"Honda прекращают экспорт авто, мотоциклов и комплектующих в РФ
"
Hermes,"Польский производитель замороженных овощей, фруктов и ягод Hortex ушел из России. Новым владельцем компании ""Ортика Фрозен Фудс"", представлявшей интересы Hortex в РФ, стала ГК ""Агама"", свидетельствует информация ЕГРЮЛ. Группа занимается производством и поставками рыбы.
"
Hitachi Construction Machinery Co.,"Компания Huawei начала закрывать официальные торговые точки в России — источник РИА Новости
"
Honda,"Hugo Boss приостановил продажи в РФ
"
Hortex,"Американская компания Hyatt hotels, управляющая сетями отелей высшего класса, разрывает контракты и прекращает сотрудничество с отелем в Москве Hyatt Regency Moscow Petrovsky Park с 26 марта
"
Huawei,"Автозаводы Hyundai в Санкт-Петербурге планируют возобновить работу при восстановлении цепочек поставок, губернатор Петербурга Александр Беглов.
"
Hugo Boss,"Российские компании, использующие оборудование Cisco и IBM, не могут продлить лицензии на ранее приобретёную технику, пишут «Ведомости». Когда лицензии закончатся, оборудование перестанет работать, говорит источник издания, а параллельный импорт эту проблему решить вряд ли поможет.
"
Hyatt hotels,"Владельцы системы тестирования английского языка IELTS приостанавливают регистрацию на экзамены в России
"
Hyundai,"Компания IHG, владеющая сетями отелей Holiday Inn и Crowne Plaza, прекращает всю деятельность в РФ — заявление
"
IBM,"IKEA приостанавливает деятельность в России и Белоруссии
"
IELTS,"Корпорация IMAX, предоставляющая одноименную кинематографическую систему, покинула Россию с 1 июня 2022 года, сообщил ТАСС член совета Ассоциации владельцев кинотеатров Роман Исаев.
"
IHG,"Independent Media (издаёт версии журналов: Cosmopolitan, ""Домашний Очаг"", Harper""s Bazaar, Grazia, Esquire, ""Robb Report Россия"", ""Популярная механика"" и Men's Health) объявил о перезапуске брендов, холдинг продолжит работу на российском рынке в новом формате.  ""Медиахолдинг перезапускает бренды, которые ранее выпускались в партнерстве с конгломератом Hearst, в локализованных российских версиях под новыми названиями. Проекты сохранят главных редакторов и основной состав креативных команд, но расширят круг освещаемых тем"", говорится в сообщении.  Также холдинг анонсировал выход новых проектов от журналов. Например, VOICE - новый проект от команды Cosmopolitan и cosmo.ru. Men Today - расширенная концепция Men""s Health. ""Новый Очаг"" - новая версия бренда ""Домашний Очаг"". TechInsider - расширенная вселенная бренда ""Популярная Механика"". ""Правила жизни"" - логическое продолжение бренда Esquire. The Symbol - новый проект от команды легендарного Harper""s Bazaar. Grazia и Robb Report продолжат работать в прежнем режиме.
"
IKEA,"Independent Media (издаёт версии журналов: Cosmopolitan, ""Домашний Очаг"", Harper""s Bazaar, Grazia, Esquire, ""Robb Report Россия"", ""Популярная механика"" и Men's Health) объявил о перезапуске брендов, холдинг продолжит работу на российском рынке в новом формате.  ""Медиахолдинг перезапускает бренды, которые ранее выпускались в партнерстве с конгломератом Hearst, в локализованных российских версиях под новыми названиями. Проекты сохранят главных редакторов и основной состав креативных команд, но расширят круг освещаемых тем"", говорится в сообщении.  Также холдинг анонсировал выход новых проектов от журналов. Например, VOICE - новый проект от команды Cosmopolitan и cosmo.ru. Men Today - расширенная концепция Men""s Health. ""Новый Очаг"" - новая версия бренда ""Домашний Очаг"". TechInsider - расширенная вселенная бренда ""Популярная Механика"". ""Правила жизни"" - логическое продолжение бренда Esquire. The Symbol - новый проект от команды легендарного Harper""s Bazaar. Grazia и Robb Report продолжат работать в прежнем режиме.
"
IMAX,"Компании, входящие в испанскую группу Inditex, продолжают появляется на маркетплейсах - теперь на Wildberries для заказа доступны товары бренда Bershka
"
Independent Media,"Крупнейший американский производитель процессоров Intel приостанавливает предпринимательскую деятельность в России из-за ситуации на Украине. В начале марта Intel уже остановил поставки продукции в РФ и Белоруссию.
"
Inditex,"Японская платежная система JCB приостановит операции в России
"
Intel,"Американская компания Johnson & Johnson решила приостановить поставки средств личной гигиены в Россию
"
JCB,"«Коммерсант» узнал, что производитель приправ Kamis может уйти из России.  У российской структуры уже недоступно 25% ассортимента. Заменить Kamis планируют российские производители.
"
Johnson & Johnson,"Французские люксовые бренды заявили о приостановке деятельности в России. Решение приняли Kering (Gucci, Balenciaga, Yves Saint Laurent).
"
Kamis,"Ряд японских компаний объявили о приостановке поставок продукции и производства в России, в том числе из-за проблем с логистикой, сообщает The Japan News. Крупный производитель строительной техники Komatsu Ltd. принял решение приостановить поставки горнодобывающего оборудования и запчастей в Россию. Также компания может остановить производство гидравлических экскаваторов и самосвалов на производственных мощностях страны.
"
Kering,"Крупнейший пенсионный фонд Норвегии KLP намерен исключить акции российских компаний из инвестиционного портфеля, сообщает MarketWatch.
"
Komatsu Ltd.,"Производители скоростных лифтов, в том числе американский Otis и финский Kone, перестали принимать заказы от российских застройщиков, поэтому на рынке образовался дефицит, пишет Forbes.  Российские производители пока не готовы производить такие лифты, поэтому девелоперы ищут новых поставщиков в Китае и Турции.
"
KLP,"Французская L'Occitane сообщила, что закрывает все магазины и интернет-магазины в России
"
Kone,"Крупный дистрибьютор и импортер алкоголя в Россию Ladoga повторно снижает цены на импортную продукцию, в этот раз на 10% — компания
"
L'Occitane,"Lavazza Group (https://www.kommersant.ru/doc/5306092?tg) приостанавливает свою деятельность на территории России «в связи с форс-мажорными обстоятельствами и невозможностью поставки продукции на рынок», сообщает ""Коммерсант"". Итальянская компания занимается производством кофе и кофемашин, ей принадлежат бренды Lavazza, Carte Noire, Merrild и Kicking Horse.
"
Ladoga,"Lavazza Group (https://www.kommersant.ru/doc/5306092?tg) приостанавливает свою деятельность на территории России «в связи с форс-мажорными обстоятельствами и невозможностью поставки продукции на рынок», сообщает ""Коммерсант"". Итальянская компания занимается производством кофе и кофемашин, ей принадлежат бренды Lavazza, Carte Noire, Merrild и Kicking Horse.
"
Lavazza Group,"Китайские компании, в том числе производитель компьютеров Lenovo и создатель смартфонов Xiaomi, сократили поставки в Россию из-за опасения попасть под действие западных санкций, а также под давлением поставщиков, среди которых есть западные компании. Об этом со ссылкой на источники сообщила в пятницу газета The Wall Street Journal.
"
Lego,"Компания Adeo в ответ на призыв Зеленского заявила, что магазины Leroy Merlin продолжат работу в России — AFP
"
Lenovo,"Производитель одежды Levi Strauss&Co сообщил, что ""временно"" прекращает работу в России - релиз
"
Leroy Merlin,"Южнокорейский производитель бытовой электроники LG Electronics сообщил о приостановке всех поставок в Россию
"
Levi Strauss&Co,"Швейцарский производитель шоколада и кондитерских изделий Lindt & Sprüngli принял решение приостановить поставки своих продуктов в Россию
"
LG,"Louis Vuitton закрывает с воскресенья 124 магазина в России — Reuters
"
Lindt & Sprüngli,"Lufthansa заявила, что не будет использовать воздушное пространство России до 30 июня — заявление
"
Lipton,"Владелец российского бизнеса британской косметической сети Lush планирует закрыть все оставшиеся в РФ магазины, пишет «Коммерсант». Он вынужден пойти на этот шаг, так как не смог организовать поставки в страну даже по параллельному импорту.
"
Louis Vuitton,"Датская Maersk приостанавливает прием новых заказов на перевозку контейнеров с товарами первой необходимости в/из портов Санкт-Петербург, Калининград и Новороссийск, сообщила компания.
"
Lufthansa,"Производитель грузовиков MAN прекращает экспорт своей продукции в Россию — заявление
"
Lush,"Товары испанского бренда Mango начали продаваться на Ozon
"
Maersk,"Marks & Spencer останавливает поставки в Россию
"
MAN,"Сеть отелей Marriott приостанавливает деятельность в России — заявление
"
Mango,"Американский производитель продуктов питания и кормов для домашних животных Mars Inc. прекращает новые инвестиции в России, сворачивает здесь, а также в Белоруссии рекламную активность.
"
Marks & Spencer,"Marvel разослало письмо российским издательствам, в котором уведомило партнёров о том, что прекращает продажу и продление лицензий на свои комиксы, рассказали изданию GeekCity источники, знакомые с письмом.
"
Marriott,"Mazda прекращают экспорт авто, мотоциклов и комплектующих в РФ
"
Mars Inc.,"Банк России подтвердил (http://cbr.ru/press/event/?id=12735), что все карты Visa и Mastercard, выпущенные российскими банками, продолжат работать на территории РФ в обычном режиме до истечения срока их действия.
"
Marvel,"Michelin намерен передать свою деятельность в России под местное управление до конца года, сообщил французский производитель шин.  «Michelin теперь подтверждает, что технически невозможно возобновить производство, в частности, из-за проблем с поставками в условиях общей неопределенности», говорится в заявлении компании.
"
Mazda,"Michelin намерен передать свою деятельность в России под местное управление до конца года, сообщил французский производитель шин.  «Michelin теперь подтверждает, что технически невозможно возобновить производство, в частности, из-за проблем с поставками в условиях общей неопределенности», говорится в заявлении компании.
"
Mastercard,"Японская компания Mitsubishi Motors прекратила производство автомобилей на заводе в Калуге, сообщила газета ""Никкэй"".  Соответствующее решение было принято из-за нехватки комплектующих и нарушения цепочек поставок в связи с введением санкций против России после начала военной операции на Украине.
"
Michelin,"Mercedes-Benz приостановит производство и поставки автомобилей в России
"
Microsoft,"Mondelez International сворачивает капитальные вложения и расходы на рекламу в России. Компания, которой принадлежат такие бренды, как Oreo, Alpen Gold, Cadbury, Milka, Toblerone, планирует сосредоточиться ""на базовых предложениях"".
"
Mitsubishi Motors,"Американская компания Monotype Imaging перекрыла для россиян доступ к библиотеке на своем сайте. Теперь недоступны такие популярные шрифты, как Times New Roman, Arial, Verdana, Tahoma и Helvetica, правами на которые владеет данная компания, сообщают «Ведомости» со ссылкой на источники в IT-компаниях.
"
Megogo,"Moody's с 5 марта приостанавливает коммерческую деятельность в России
"
Mercedes-Benz,"Владелец британской сети магазинов детских товаров Mothercare, может продать свой бизнес в России, сеть принадлежит кувейтской Alshaya Group.
"
Mondelez International,"Браузер Mozilla Firefox убрал поисковик «Яндекса» из настроек и заменил поиск по умолчанию на Google — vc.ru
"
Monotype Imaging,"Инвестиционный фонд Арабских Эмиратов Mubadala Investment Company приостановит инвестиции в Россию
"
Moody's,"Русскоязычная версия журнала National Geographic прекращает выходить в России
"
Mothercare,"Украинский производитель алкогольных напитков Nemiroff аннулировал лицензию на производство своей продукции в России
"
Mozilla Firefox,"Nestle прекращает поставки товаров под маркой Nespresso в РФ — официально
"
Mubadala Investment Company,"Ограничительных мер в отношении видеосервиса Netflix со стороны Роскомнадзора принято не было, он самостоятельно приостановил деятельность на территории России, сообщили в пресс-службе ведомства.
"
National Geographic,"Разработчик игр Nexters передаст 100% акций своих российских юрлиц локальному менеджменту, сообщили (https://www.forbes.ru/svoi-biznes/471321-razrabotcik-igr-nexters-peredast-biznes-v-rossii-lokal-nomu-menedzmentu) Forbes в компании. Головной офис Nexters на Кипре больше не будет получать выручку в РФ: она пойдет на развитие и поддержку компании и игр в России. «Цель — сделать так, чтобы российские игроки не почувствовали каких-либо изменений и смогли продолжить играть в свои любимые игры», заявил генеральный директор и сооснователь Nexters Андрей Фадеев.
"
Nemiroff,"Разработчик игр Nexters передаст 100% акций своих российских юрлиц локальному менеджменту, сообщили (https://www.forbes.ru/svoi-biznes/471321-razrabotcik-igr-nexters-peredast-biznes-v-rossii-lokal-nomu-menedzmentu) Forbes в компании. Головной офис Nexters на Кипре больше не будет получать выручку в РФ: она пойдет на развитие и поддержку компании и игр в России. «Цель — сделать так, чтобы российские игроки не почувствовали каких-либо изменений и смогли продолжить играть в свои любимые игры», заявил генеральный директор и сооснователь Nexters Андрей Фадеев.
"
Nestle,"Nike заявил, что его магазины в России больше не откроются — официально
"
Netflix,"Компания Nintendo Co., занимающаяся производством видеоигр, также временно остановит поставки продукции в Россию.
"
Nexters,"Автозаводы Nissan в Санкт-Петербурге планируют возобновить работу при восстановлении цепочек поставок, губернатор Петербурга Александр Беглов.
"
Nike,"Nokian Tyres может продолжить операционную деятельность в России в автономном режиме — заявление
"
Nintendo Co.,"Nokian Tyres может продолжить операционную деятельность в России в автономном режиме — заявление
"
Nissan,"Американская NortonLifeLock Inc., разработчик антивируса Norton, приостановила продажи своей продукции в РФ. Пользователи Norton в России уже сообщают о невозможности обновить антивирусные базы.
"
Nokia,"Швейцарская фармацевтическая компания Novartis AG приостанавливает инвестиции и коммерческую деятельность в России из-за военной операции на Украине. Однако ее завод в Санкт-Петербурге продолжит производить медикаменты для российского рынка, сообщило агентство Bloomberg со ссылкой на заявление компании. На российском заводе Novartis работает порядка 2 тысяч человек.
"
Nokian Tyres,"Nvidia перестала продлевать и продавать российским компаниям лицензии на свое программное обеспечение для облачного гейминга, выяснил «Коммерсант».  Это грозит проблемами в работе суперкомпьютеров Сбербанка, «Яндекса» и МТС, которые основаны на решениях от Nvidia.
"
NortonLifeLock Inc.,"OBI закрыла сделку по продаже российского бизнеса за один евро, контрольный пакет сети получил бизнесмен Йозеф Лиокумович, сообщает газета ""Ведомости"" со ссылкой на два источника, близких к разным сторонам сделки.
"
Novartis AG,"Австрийская OMV отказывается от инвестиций в Россию на фоне ситуации на Украине
"
Nvidia,"Совет директоров OneWeb проголосовал за приостановку всех запусков с Байконура
"
OBI,"Oppo сократили поставки смартфонов в Россию минимум в два раза — Financial Times
"
OMV,"Oracle, второй по величине доходов производитель программного обеспечения в мире после Microsoft, приостанавливает работу в России
"
OneWeb,"Oracle, второй по величине доходов производитель программного обеспечения в мире после Microsoft, приостанавливает работу в России
"
Oppo,"Шведский производитель косметики и парфюмерии Oriflame, реализующий продукцию методом прямых продаж, приостанавливает инвестиции, маркетинговую активность и тренинги в РФ, сообщила компания. Кроме того, Oriflame прекратит онлайн-продажи продукции конечным покупателям в России.
"
Oracle,"Один из крупнейших производителей лифтов и подъемного оборудования в мире, компания Otis, объявил о продаже российского бизнеса Как сообщили в пресс-службе Минпромторга РФ, покупателем выступит российский холдинг S8 Capital Армена Саркисяна (компания развивает IT-решения в финсекторе, ритейле, телекоммуникациях, электронной коммерции и медиа, владеет распространителем гослотерей ""Столото""). «В результате длительных переговоров удалось выйти на формат, при котором российская площадка сохраняет полную работоспособность: остается производственное оборудование, технология, сохраняются компетенции и рабочие места. Кроме того, условиями сделки гарантировано продолжение поставок необходимых запчастей», отметил вице-премьер - министр промышленности и торговли РФ Денис Мантуров.
"
Oriflame,"Производитель бытовой химии и товаров для гигиены P&G (Ariel, Tide, Lenor, Fairy, Pampers, Always, Gillette, Head & Shoulders, Pantene, Blend-a-med) допустил уход с российского рынка, сообщил Reuters со ссылкой на представителей компании.  По их данным, такое решение может быть принято в связи с введением санкций против России, а также финансовыми ограничениями и проблемами с поставками.
"
Otis,"Ряд японских компаний объявили о приостановке поставок продукции и производства в России, в том числе из-за проблем с логистикой, сообщает The Japan News. Panasonic, выпускающая телевизоры и другую потребительскую электронику, прекратила отгрузку продукции из-за пределов РФ своему российскому дистрибьютору. ""Мы приняли во внимание экономические и логистические трудности"", - заявил представитель компании.
"
P&G,"Ювелирная компания Pandora приостанавливает работу в РФ и Белоруссии — Reuters
"
Panasonic,"Paramount Pictures заявила, что откладывает премьеры своих фильмов ""Затерянный город"" и ""Соник 2"" в России
"
Pandora,"Paramount Pictures заявила, что откладывает премьеры своих фильмов ""Затерянный город"" и ""Соник 2"" в России
"
Paramount,"Финская Paulig уходит из России — заявление
"
Paramount Pictures,"Платежная система PayPal сообщила, что все электронные кошельки россиян будут заблокированы 18 марта
"
Paulig,"PepsiCo прекращает рекламную деятельность и продажу напитков в России — Reuters
"
PayPal,"Компания Pfizer заявляет, что продолжит гуманитарные поставки лекарств в Россию, но пожертвует всю прибыль от своего подразделения в стране на цели, которые оказывают прямую поддержку народу Украины. Компания заявила, что больше не будет начинать новые клинические испытания в России и прекратит набор новых пациентов в текущие исследования в стране.
"
PepsiCo,"Табачная компания Philip Morris International рассматривает варианты реструктуризации бизнеса в России, включая возможную передачу активов, говорится в сообщении компании.
"
Pfizer,"Итальянская компания Pirelli заявила, что прекращает инвестиции в Россию, за исключением тех, которые связаны с безопасностью, деятельность заводов в стране будет сокращена
"
Philip Morris International,"Бесплатный сервис с изображениями Pixabay заявил о том, что больше не будет работать в России
"
Pirelli,"Поставки пива в Россию из-за событий на Украине прекратили Plzensky Prazdroj - крупнейшие производители в Чехии, пишет местная газета «Лидове новины»
"
Pixabay,"Porsche остановила поставки автомобилей в Россию — Коммерсант
"
